longitude	latitude
60.88325304	-8.281884784
60.88310435	-8.282800537
60.88280554	-8.284108266
60.88252663	-8.285410408
60.88227483	-8.286937092
60.8822895	-8.288963153
60.88226906	-8.290719182
60.88197073	-8.292655376
60.88159034	-8.294179735
60.88111552	-8.29599107
60.88075252	-8.298079044
60.89302064	-8.285263801
60.89209437	-8.284641289
60.89136739	-8.284015322
60.89085284	-8.283613283
60.8902934	-8.283134236
60.88989668	-8.284173629
60.8891845	-8.284552508
60.88855739	-8.284182598
60.88796609	-8.283739513
60.887302	-8.28325809
60.88656416	-8.282753523
60.88674615	-8.281174607
60.8859447	-8.279717835
60.8853105	-8.280379007
60.88446574	-8.280692231
60.8838033	-8.280963422
60.8806503	-8.279722101
60.88103575	-8.280637254
60.8818729	-8.28074995
60.88243307	-8.280902281
